"","DOI","metric","value","year","journal","journal2"
"1","10.1111/j.0269-8463.2005.00965.x","Mendeley_readers",21,2005,"Functional Ecology","Funct Ecology"
"2","10.1111/j.0269-8463.2005.00965.x","Mendeley_readers",21,2005,"Functional Ecology","Funct Ecology"
"3","10.1111/j.0269-8463.2005.00965.x","Mendeley_readers",21,2005,"Functional Ecology","Funct Ecology"
"4","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"5","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"6","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"7","10.1111/j.0269-8463.2005.00965.x","Mendeley_groups",1,2005,"Functional Ecology","Funct Ecology"
"8","10.1111/j.0269-8463.2005.00965.x","Mendeley_groups",1,2005,"Functional Ecology","Funct Ecology"
"9","10.1111/j.0269-8463.2005.00965.x","Mendeley_groups",1,2005,"Functional Ecology","Funct Ecology"
"10","10.1111/j.0269-8463.2005.00965.x","Mendeley_readers",21,2005,"Functional Ecology","Funct Ecology"
"11","10.1111/j.0269-8463.2005.00965.x","Mendeley_readers",21,2005,"Functional Ecology","Funct Ecology"
"12","10.1111/j.0269-8463.2005.00965.x","Mendeley_readers",21,2005,"Functional Ecology","Funct Ecology"
"13","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"14","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"15","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"16","10.1111/j.0269-8463.2005.00965.x","Mendeley_groups",1,2005,"Functional Ecology","Funct Ecology"
"17","10.1111/j.0269-8463.2005.00965.x","Mendeley_groups",1,2005,"Functional Ecology","Funct Ecology"
"18","10.1111/j.0269-8463.2005.00965.x","Mendeley_groups",1,2005,"Functional Ecology","Funct Ecology"
"19","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"20","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"21","10.1111/j.0269-8463.2005.00965.x","CiteULike_bookmarks",5,2005,"Functional Ecology","Funct Ecology"
"22","10.1111/j.0269-8463.2005.00965.x","Mendeley_groups",1,2005,"Functional Ecology","Funct Ecology"
"23","10.1111/j.0269-8463.2005.00965.x","Mendeley_groups",1,2005,"Functional Ecology","Funct Ecology"
